,Country,case,Criminel,Victimes,Périodes,Condamnation,Peine,Notes,begining,End,name
162,Colombie,"  Pedro Alonso López , dit le « Monstre des  Andes  » (1948-) (au moins 110 à 310 victimes) entre 1978 et 1980 au  Pérou , en  Colombie  et en  Équateur    [ 8 ]   . ","  Pedro Alonso López , dit le « Monstre des  Andes  » ",au moins 110 à 310 victimes,,,,,,,Colombia
163,Colombie,  Pedro Pablo Ramirez  (au moins 29 à 40 victimes). ,  Pedro Pablo Ramirez  ,au moins 29 à 40 victimes,,,,,,,Colombia
164,Colombie,  Vampire of Cali  (10 victimes). ,  Vampire of Cali  ,10 victimes,,,,,,,Colombia
165,Corée du Sud,  Yoo Young-chul  (1970-) (21 victimes) entre 2003 et 2004. ,  Yoo Young-chul  ,21 victimes,,,,,,,South Korea
166,Corée du Sud,  Kang Ho-soon  (1969-) (7 victimes) entre 2006 et 2008. ,  Kang Ho-soon  ,7 victimes,,,,,,,South Korea
167,Corée du Sud,  Chong Du Yong  (9 victimes) entre 1998 et 2000. ,  Chong Du Yong  ,9 victimes,,,,,,,South Korea
168,Croatie,  Vinko Pintarić    (en)   (1941-1991) (5 victimes) entre 1973 et 1990. ,  Vinko Pintarić    ,5 victimes,,,,,,,Croatia
169,Danemark,  Dagmar Overbye  (1887-1929) (25 victimes) entre 1913 et 1920. Aide-soignante. ,  Dagmar Overbye  ,25 victimes,,,,,,,Denmark
170,Égypte,  Ramadan Abdel Rehim Mansour    (en)   (1980-2010) (au moins 32 victimes) garçons qu'il a violés. « Al-Tourbini ». ,  Ramadan Abdel Rehim Mansour    ,au moins 32 victimes,,,,,,,Egypt
171,Égypte,  Raya et Sakina . Condamnées à mort et exécutées. ,  Raya et Sakina . Condamnées à mort et exécutées. ,,,,,,,,Egypt
172,Équateur,"  Gilberto Chamba  (1963-) (9 victimes) entre 1988 et 2004, dont une en Espagne. « Le monstre de Machala ». ",  Gilberto Chamba  ,9 victimes,,,,,,,Ecuador
173,Espagne,"  Jose Antonio Rodriguez Vega  (16 victimes), femmes de 61 à 93 ans préalablement violées dans et autour de Santander d' août 1987  à  avril 1988 . ",  Jose Antonio Rodriguez Vega  ,16 victimes,,,,,,,Spain
174,Espagne,  Francisco Garcia Escalero  (plus de 11 à 13 victimes) entre 1987 et 1994. Mendiant  cannibale   nécrophile . ,  Francisco Garcia Escalero  ,plus de 11 à 13 victimes,,,,,,,Spain
175,Espagne,"  Manuel Delgado Villegas  (au moins 8 victimes, suspecté de 48). ",  Manuel Delgado Villegas  ,"au moins 8 victimes, suspecté de 48",,,,,,,Spain
176,Espagne,"  Alfredo Galán , le « tueur au jeu de cartes ». Entre le  24 janvier 2003  et le  18 mars 2003 , Alfredo Galan, un ancien caporal de 28 ans ayant servi en Bosnie-Herzégovine au sein des forces espagnoles, a tué six personnes à Madrid et sa banlieue. Il a également tenté d'en assassiner trois autres. Il tuait au hasard, en pleine rue et parfois en plein jour, avant de déposer auprès des corps des cartes de jeu espagnoles, d'où son surnom. ","  Alfredo Galán , le « tueur au jeu de cartes ». Entre le  24 janvier 2003  et le  18 mars 2003 , Alfredo Galan, un ancien caporal de 28 ans ayant servi en Bosnie-Herzégovine au sein des forces espagnoles, a tué six personnes à Madrid et sa banlieue. Il a également tenté d'en assassiner trois autres. Il tuait au hasard, en pleine rue et parfois en plein jour, avant de déposer auprès des corps des cartes de jeu espagnoles, d'où son surnom. ",,,,,,,,Spain
177,Espagne,  Francisca Ballesteros    (en)   (3 victimes). ,  Francisca Ballesteros    ,3 victimes,,,,,,,Spain
178,Espagne,  Enriqueta Martí  (au moins 10 victimes). Des enfants entre 3 et 14 ans. ,  Enriqueta Martí  ,au moins 10 victimes,,,,,,,Spain
179,Espagne,"  Diogo Alves  (au moins 70 victimes), installé au Portugal, détroussait des passants sur l' Aqueduc des Eaux Libres  près de Lisbonne entre 1836 et 1840 avant de les jeter dans le vide. Condamné à mort et exécuté en 1841. ",  Diogo Alves  ,au moins 70 victimes,,,,,,,Spain
180,Espagne,  Manuel Blanco Romasanta  (1809-1863) (de 9 à 13 victimes). Le « loup-Garou d'Allariz » ou « l'homme de suif ». ,  Manuel Blanco Romasanta  ,de 9 à 13 victimes,,,,,,,Spain
181,Estonie,  Aleksandr Rubel  (1980-) (6 victimes) en 1997 et 1998. ,  Aleksandr Rubel  ,6 victimes,,,,,,,Estonia
182,Eswatini,  David Thabo Simelane    (en)   (1956-) (28 à 45 victimes) entre 1999 et 2001. ,  David Thabo Simelane    ,28 à 45 victimes,,,,,,,Swaziland
183,États-Unis,  Charles Albright  (1933-) (3 victimes). ,  Charles Albright  ,3 victimes,,,,,,,United States of America
184,États-Unis,  Rodney Alcala  (1943-) (de 8 à 130 victimes). ,  Rodney Alcala  ,de 8 à 130 victimes,,,,,,,United States of America
185,États-Unis,  Howard Allen  (1949-) (3 victimes)   [ 9 ]   . ,  Howard Allen  ,3 victimes,,,,,,,United States of America
186,États-Unis,"  Ralph Andrews  (1945-2006) (a officiellement tué deux femmes, soupçonné du meurtre de deux autres, mais semble en avoir tué 40 en tout)   [ 10 ]   . ",  Ralph Andrews  ,,,,,,,,United States of America
187,États-Unis,  Richard Angelo  (1962-) (de 10 à 25 victimes). « l'ange de la mort »   [ 11 ]   . ,  Richard Angelo  ,de 10 à 25 victimes,,,,,,,United States of America
188,États-Unis, L' Annihilateur de servante    (en)   (au moins 8 victimes) en 1884 et 1885. Le « meurtrier à la hache d' Austin  ». Non identifié. , L' Annihilateur de servante    ,au moins 8 victimes,,,,,,,United States of America
189,États-Unis,  Amy Archer-Gilligan  (1873-1962) (plus de 5 à 48 victimes)   [ 9 ]   . ,  Amy Archer-Gilligan  ,plus de 5 à 48 victimes,,,,,,,United States of America
190,États-Unis,"  John Eric Armstrong    (en)   (1973-) 16 victimes de 1992 à 1999, des prostituées, dans le monde entier du fait de son métier de marin. ",  John Eric Armstrong    ,1973-,,,,,,,United States of America
191,États-Unis,  Benjamin Atkins  (1968-1997) (11 victimes). ,  Benjamin Atkins  ,11 victimes,,,,,,,United States of America
192,États-Unis,  Joe Ball  (1896-1938) (de 2 à 20 victimes). « The Alligator Man » inspire le film   Le Crocodile de la mort  . ,  Joe Ball  ,de 2 à 20 victimes,,,,,,,United States of America
193,États-Unis,  Margie Velma Barfield  (1932-1984) (6 victimes). ,  Margie Velma Barfield  ,6 victimes,,,,,,,United States of America
194,États-Unis,  Cesar Barone  (1960-2009) (4 victimes). ,  Cesar Barone  ,4 victimes,,,,,,,United States of America
195,États-Unis,  Herbert Baumeister  (1947-1996) (plus de 16 à 25 victimes). «  D r   Jekyll et  M.  Hyde »   [ 12 ]   . ,  Herbert Baumeister  ,plus de 16 à 25 victimes,,,,,,,United States of America
196,États-Unis,  Eric Beishline  (au moins 4 victimes)   [ 13 ]   . ,  Eric Beishline  ,au moins 4 victimes,,,,,,,United States of America
197,États-Unis, La  famille Bender  (au moins 11 victimes). « les Bloody Benders ». , La  famille Bender  ,au moins 11 victimes,,,,,,,United States of America
198,États-Unis,  Robert Berdella  (1949-1992) (6 victimes). ,  Robert Berdella  ,6 victimes,,,,,,,United States of America
199,États-Unis,  David Berkowitz  (1953-) (6 victimes). Le « fils de Sam »   [ 14 ]   . ,  David Berkowitz  ,6 victimes,,,,,,,United States of America
200,États-Unis,  Kenneth Bianchi  (1951-) et  Angelo Buono Jr  (1934-2002) (10 victimes). « L'étrangleur des collines »   [ 15 ]   . ,  Kenneth Bianchi  ,10 victimes,,,,,,,United States of America
201,États-Unis,  Richard Biegenwald  (1940-2008) (de 6 à plus de 9 victimes). Le « tueur pour le frisson ». ,  Richard Biegenwald  ,de 6 à plus de 9 victimes,,,,,,,United States of America
202,États-Unis,  Jake Bird  (1901-1949) (de 12 à 46 victimes). Condamné à mort et pendu. ,  Jake Bird  ,de 12 à 46 victimes,,,,,,,United States of America
203,États-Unis,  Arthur Gary Bishop  (1951-1988) (5 victimes)   [ 16 ]   . ,  Arthur Gary Bishop  ,5 victimes,,,,,,,United States of America
204,États-Unis,"  Lawrence Bittaker  (1940-) et  Roy Norris , (1948-) (au moins 5 victimes)   [ 17 ]   . ",  Lawrence Bittaker  ,au moins 5 victimes,,,,,,,United States of America
205,États-Unis, Daniel Joseph Blank (1962-) (6 victimes) de 1996 à 1997 en Louisiane. « Le tueur de la rivière Parish ». , Daniel Joseph Blank ,6 victimes,,,,,,,United States of America
206,États-Unis,  William Bonin  (1947-1996) (de 21 à 36 victimes) violeur de jeunes hommes. Le « tueur de l'autoroute ». Condamné à mort et exécuté. ,  William Bonin  ,de 21 à 36 victimes,,,,,,,United States of America
207,États-Unis, Le Boucher de Cleveland (plus de 12 victimes). «  Cleveland Torso Murderer  » ou « Le boucher fou de Kingsbury Run ». Non identifié. , Le Boucher de Cleveland ,plus de 12 victimes,,,,,,,United States of America
208,États-Unis,  Gary Ray Bowles  (1962-2019) (6 victimes) des homosexuels en Floride. Exécuté. Le « tueur de l' I-95  ». ,  Gary Ray Bowles  ,6 victimes,,,,,,,United States of America
209,États-Unis,  William Richard Bradford  (1948-2008) (de 2 à 50 victimes)   [ 18 ]   . ,  William Richard Bradford  ,de 2 à 50 victimes,,,,,,,United States of America
210,États-Unis,"  Jerry Brudos  (1939-2006) (4 à 5 victimes). « The Lust Killer » et « Shoe Fetish Slayer », fétichiste des chaussures voir   Polyester     [ 19 ]    ,    [ 20 ]   . ",  Jerry Brudos  ,4 à 5 victimes,,,,,,,United States of America
211,États-Unis,  Judy Buenoano  (1943-1998) ,  Judy Buenoano  ,,,,,,,,United States of America
212,États-Unis,  Carol Bundy  (1942-2003) et  Douglas Clark  (1948-) (6 victimes) les « Tueurs de Sunset Strip »   [ 21 ]   . ,  Carol Bundy  ,6 victimes,,,,,,,United States of America
213,États-Unis,"  Theodore Bundy  (1946-1989) (plus de 35 victimes). « Le tueur de femmes »   [ 22 ]    ,    [ 23 ]    ,    [ 24 ]   . ",  Theodore Bundy  ,plus de 35 victimes,,,,,,,United States of America
214,États-Unis,  David Carpenter  (1930-) (10 victimes) « le tueur des sentiers ». ,  David Carpenter  ,10 victimes,,,,,,,United States of America
215,États-Unis,"  Richard Chase  (1950-1980) (6 victimes). « Le vampire de Sacramento »   [ 25 ]    ,    [ 26 ]   . ",  Richard Chase  ,6 victimes,,,,,,,United States of America
216,États-Unis,  Thor Nis Christiansen    (en)   (1957-1981) (4 victimes) de  novembre 1976  à  avril 1977 . Tué par un codétenu. ,  Thor Nis Christiansen    ,4 victimes,,,,,,,United States of America
217,États-Unis,  Joseph Christopher    (en)   (1955-1993) (12 victimes). « Le tueur au calibre 22 » ou le « Midtown slasher ». ,  Joseph Christopher    ,12 victimes,,,,,,,United States of America
218,États-Unis,  Hadden Clark  (1951-) (3 victimes)   [ 27 ]   . ,  Hadden Clark  ,3 victimes,,,,,,,United States of America
219,États-Unis,  Carroll Cole  (1938-1985) (16 victimes)   [ 28 ]   . ,  Carroll Cole  ,16 victimes,,,,,,,United States of America
220,États-Unis,  Alton Coleman  (1955-2002) et  Debra Brown  (1962-) (8 victimes)   [ 29 ]   . ,  Alton Coleman  ,8 victimes,,,,,,,United States of America
221,États-Unis,  Faye Copeland  (1921-2003) et  Ray Copeland  (1914-1993) (de 5 à 12 victimes)    [ 30 ]   . ,  Faye Copeland  ,de 5 à 12 victimes,,,,,,,United States of America
222,États-Unis,"  Dean Corll  (1939-1973),  David Brooks  et  Wayne Henley  (1956-) (au moins 27 à 31 victimes). « Candyman » ou « Cop Killer »   [ 31 ]   . ",  Dean Corll  ,au moins 27 à 31 victimes,,,,,,,United States of America
223,États-Unis,  Juan Vallejo Corona  (1934-2019) (25 victimes)   [ 32 ]   . ,  Juan Vallejo Corona  ,25 victimes,,,,,,,United States of America
224,États-Unis,  Antone Charles « Tony » Costa    (en)   (1944-1974) (4 victimes) de 1968 à 1969. ,  Antone Charles « Tony » Costa    ,4 victimes,,,,,,,United States of America
225,États-Unis,  Richard Cottingham  (1946-) (5 à 100 victimes). « Torso Killer ». ,  Richard Cottingham  ,5 à 100 victimes,,,,,,,United States of America
226,États-Unis,  Charles Cullen    (en)   (1960-) (+29 à +40 victimes). ,  Charles Cullen    ,+29 à +40 victimes,,,,,,,United States of America
227,États-Unis,  Andrew Cunanan  (1969-1997) (5 victimes)   [ 33 ]   . ,  Andrew Cunanan  ,5 victimes,,,,,,,United States of America
228,États-Unis,  Jeffrey Dahmer  (1960-1994) (17 victimes). le « Cannibale de Milwaukee »   [ 34 ]   . ,  Jeffrey Dahmer  ,17 victimes,,,,,,,United States of America
229,États-Unis,"  Joseph James DeAngelo  (1945-) (au moins 13 victimes et de très nombreux viols). « Le tueur du Golden Gate », le « original night stalker ». Arrêté grâce à un site de généalogie sur lequel les internautes envoient leur ADN. Celui du tueur avait été prélevé sur une scène de crime et est apparu sur le site en question plus de quarante ans plus tard. ",  Joseph James DeAngelo  ,au moins 13 victimes et de très nombreux viols,,,,,,,United States of America
230,États-Unis,"  Albert DeSalvo  (1931-1973) (13 victimes). L'« étrangleur de Boston », « l'homme en vert » ou « le mesureur »   [ 35 ]   . ",  Albert DeSalvo  ,13 victimes,,,,,,,United States of America
231,États-Unis,  Westley Allan Dodd    (en)   (1961-1993) (3 victimes) des enfants en 1989. Exécuté par pendaison. ,  Westley Allan Dodd    ,3 victimes,,,,,,,United States of America
232,États-Unis,  Ronald Dominique  (1964-) (23 victimes). ,  Ronald Dominique  ,23 victimes,,,,,,,United States of America
233,États-Unis,  Nannie Doss  (1906-1965) (11 victimes). La « veuve noire gaie ». ,  Nannie Doss  ,11 victimes,,,,,,,United States of America
234,États-Unis,  Joseph Edward Duncan III  (1963-) (7 victimes dont une famille entière en 2005) pédophile. ,  Joseph Edward Duncan III  ,7 victimes dont une famille entière en 2005,,,,,,,United States of America
235,États-Unis,  Paul Durousseau  (1970-) (7 victimes) que des femmes dont 2 étaient enceintes. ,  Paul Durousseau  ,7 victimes,,,,,,,United States of America
236,États-Unis,  Edward Edwards  (1933-2011) (au moins cinq victimes). ,  Edward Edwards  ,au moins cinq victimes,,,,,,,United States of America
237,États-Unis,  Glennon Engleman  (1928-1999) (plus de 7 victimes)   [ 36 ]   . ,  Glennon Engleman  ,plus de 7 victimes,,,,,,,United States of America
238,États-Unis,  L'étrangleur d'Honolulu    (en)   (5 victimes) dans les années 1980. Non identifié. ,  L'étrangleur d'Honolulu    ,5 victimes,,,,,,,United States of America
239,États-Unis,  Larry Eyler  (1952-1994) (au moins 20 victimes). Le « Highway Killer »   [ 37 ]   . ,  Larry Eyler  ,au moins 20 victimes,,,,,,,United States of America
240,États-Unis,  John Fautenberry  (?-2009) (5 victimes). ,  John Fautenberry  ,5 victimes,,,,,,,United States of America
241,États-Unis,  Raymond Fernandez  (1914-1951) et  Martha Beck  (1920-1951). « The Lonely Hearts Killers » inspirent plusieurs films dont   Les Tueurs de la lune de miel     [ 38 ]   . ,  Raymond Fernandez  ,,,,,,,,United States of America
242,États-Unis,  Albert Fish  (1870-1936) (de 5 à 16 victimes) le « Vampire de Brooklyn » ou l'« Ogre de Wisteria »   [ 39 ]   . ,  Albert Fish  ,de 5 à 16 victimes,,,,,,,United States of America
243,États-Unis, John et  Lavinia Fisher  (1793-1820) (? victimes). , John et  Lavinia Fisher  ,? victimes,,,,,,,United States of America
244,États-Unis,"  Franklin Delano Floyd    (en)   (1943-) (2 victimes, fortement suspecté pour 2 supplémentaires). ",  Franklin Delano Floyd    ,"2 victimes, fortement suspecté pour 2 supplémentaires",,,,,,,United States of America
245,États-Unis,  Kendall Francois    (en)   (1971-2014) (9 victimes) d' octobre 1996  à  août 1998 . Le « Tueur de  Poughkeepsie  ». ,  Kendall Francois    ,9 victimes,,,,,,,United States of America
246,États-Unis,  Joseph Paul Franklin  (1950-) (au moins 7 victimes). ,  Joseph Paul Franklin  ,au moins 7 victimes,,,,,,,United States of America
247,États-Unis,  Lonnie David Franklin Jr.  (11 victimes). Le « dormeur lugubre ». ,  Lonnie David Franklin Jr.  ,11 victimes,,,,,,,United States of America
248,États-Unis,"  John Wayne Gacy  (1942-1994) (33 victimes). Le « Clown tueur »   [ 40 ]    ,    [ 41 ]   . ",  John Wayne Gacy  ,33 victimes,,,,,,,United States of America
249,États-Unis,"  Gerald Gallego    (en)   (1946-2002) et  Charlene Williams-Gallego    (en)   (1956-) (10 victimes) des enfants de 1978 à 1980. Charlene attirait les enfants et les mettait en confiance, puis Gallego les violait et les tuait. Ayant passé un marché avec la justice, Charlene Gallego est condamnée à seulement seize ans d'emprisonnement en échange de son témoignage contre son mari, qui est condamné à mort et meurt d'un cancer en prison. Elle a effectué sa peine et est libre. ",  Gerald Gallego    ,10 victimes,,,,,,,United States of America
250,États-Unis,  Donald Henry Gaskins  (1933-1991) (de 31 à 80 victimes)   [ 42 ]   . ,  Donald Henry Gaskins  ,de 31 à 80 victimes,,,,,,,United States of America
251,États-Unis,  Edward « Ed » Gein  (1906-1984) (de 2 à 6 victimes). Le « boucher de Plainfield ». ,  Edward « Ed » Gein  ,de 2 à 6 victimes,,,,,,,United States of America
252,États-Unis,  Kristen Gilbert    (en)   (1967-) (4 victimes et deux tentatives) Infirmière tueuse. « L'ange de la mort ». ,  Kristen Gilbert    ,4 victimes et deux tentatives,,,,,,,United States of America
253,États-Unis,  Bernard Eugene Giles  (1953-) (5 victimes) de septembre à  novembre 1973 . Crimes ritualisés et viols post-mortem. « le tueur de Titusville ». ,  Bernard Eugene Giles  ,5 victimes,,,,,,,United States of America
254,États-Unis,  Sean Vincent Gillis    (en)   (1962-) (8 victimes) de 1994 à 2004. ,  Sean Vincent Gillis    ,8 victimes,,,,,,,United States of America
255,États-Unis,  Harvey Glatman  (1927-1959) (de 3 à 4 victimes). ,  Harvey Glatman  ,de 3 à 4 victimes,,,,,,,United States of America
256,États-Unis,  David Alan Gore    (en)   (1953-2012) et  Fred Waterfield    (en)   (1952-) (6 victimes) de 1981 à 1983. « Les cousins tueurs ». ,  David Alan Gore    ,6 victimes,,,,,,,United States of America
257,États-Unis,  Kermit Gosnell    (en)   (1941-). Docteur. plusieurs centaines d'avortement tardifs et 1 homicide involontaire. ,  Kermit Gosnell    ,,,,,,,,United States of America
258,États-Unis,"  Mark Goudeau    (en)   (1964-) 9 victimes tuées, 15 violées et 11 kidnappées d' août 2005  à  juin 2006  à Phoenix (dans la même ville et à la même période que les Serial shooters Hausner et Dietman mentionnés ci-dessus). The baseline killer. ",  Mark Goudeau    ,1964-,,,,,,,United States of America
259,États-Unis,  Douglas Gretzler  (1951-1998) et  Willie Steelman  (16 victimes). ,  Douglas Gretzler  ,16 victimes,,,,,,,United States of America
260,États-Unis,  Grim Sleeper  (au moins 11 victimes). ,  Grim Sleeper  ,au moins 11 victimes,,,,,,,United States of America
261,États-Unis,  Belle Gunness  (1859-1908?) (plus de 40 à 60 victimes). ,  Belle Gunness  ,plus de 40 à 60 victimes,,,,,,,United States of America
262,États-Unis,  Rodney Halbower    (en)   (1948-) (6 victimes). Le « slasher de San Mateo ». ,  Rodney Halbower    ,6 victimes,,,,,,,United States of America
263,États-Unis,  Lizzie Halliday  (1859-1918) (au moins 4 victimes). ,  Lizzie Halliday  ,au moins 4 victimes,,,,,,,United States of America
264,États-Unis,  William Henry Hance    (en)   (1951-1994) (4 victimes) de 1977 à 1978. ,  William Henry Hance    ,4 victimes,,,,,,,United States of America
265,États-Unis,"  Robert Hansen  (1939-2014) (de 17 à 21 victimes), arrêté en 1983 et condamné à 461 ans de prison. ",  Robert Hansen  ,de 17 à 21 victimes,,,,,,,United States of America
266,États-Unis,  Donald Harvey  (1952-1987) (87 victimes minimum). ,  Donald Harvey  ,87 victimes minimum,,,,,,,United States of America
267,États-Unis,  Charles Ray Hatcher    (en)   (1929-1984) (16 victimes) entre 1969 et 1982. ,  Charles Ray Hatcher    ,16 victimes,,,,,,,United States of America
268,États-Unis,  Dale Hausner    (en)   (1973-2013) et  Samuel Dieteman    (en)   (1975-) (8 victimes et 19 blessées) de  mai 2005  à  juillet 2006 . Les « serial shooters de Phoenix ». ,  Dale Hausner    ,8 victimes et 19 blessées,,,,,,,United States of America
269,États-Unis,  William Heirens  (1928-2012) (3 victimes) en 1945 et 1946. Le « tueur au rouge à lèvres ». ,  William Heirens  ,3 victimes,,,,,,,United States of America
270,États-Unis,  Ivan Hill  (8 victimes). ,  Ivan Hill  ,8 victimes,,,,,,,United States of America
271,États-Unis,  H. H. Holmes  (1860-1896) (de 27 à 100 victimes) mais 200 supposées. Premier tueur en série américain   [ 43 ]   . ,  H. H. Holmes  ,de 27 à 100 victimes,,,,,,,United States of America
272,États-Unis,  William Devin Howell    (en)   (1970-) (7 victimes) dans le Connecticut. ,  William Devin Howell    ,7 victimes,,,,,,,United States of America
273,États-Unis,  Genene Jones  (1950-) (de 11 à 46 victimes). Infirmière. Sera libérée en 2017   [ 44 ]   . ,  Genene Jones  ,de 11 à 46 victimes,,,,,,,United States of America
274,États-Unis,"  John Joubert  (1963-1996) (3 victimes enfants)   [ 45 ]    ,    [ 46 ]   . ",  John Joubert  ,3 victimes enfants,,,,,,,United States of America
275,États-Unis,  Patrick Kearney  (1939-) (43 victimes) des homosexuels. ,  Patrick Kearney  ,43 victimes,,,,,,,United States of America
276,États-Unis,  Edmund Kemper  (1948-) (10 victimes) l'« Ogre de Santa Cruz » ou le « Dévisseur de têtes »   [ 47 ]   . ,  Edmund Kemper  ,10 victimes,,,,,,,United States of America
277,États-Unis,  Israel Keyes    (en)   (1978-2012) (11 victimes) de 1996 à 2012. ,  Israel Keyes    ,11 victimes,,,,,,,United States of America
278,États-Unis,  Sharon Kinne  (1939-) (3 victimes)   La Pisotlera     [ 48 ]    ,  Sharon Kinne  ,3 victimes,,,,,,,United States of America
279,États-Unis,  Peter Kudzinowski    (en)   (1903-1929) (au moins 3 victimes) de 1924 à 1928. Suspecté dans une quatrième affaire avant l'inculpation d'Albert Fish. ,  Peter Kudzinowski    ,au moins 3 victimes,,,,,,,United States of America
280,États-Unis,  Richard Kuklinski  (1935-2006) (250 victimes) « Ice Man ». ,  Richard Kuklinski  ,250 victimes,,,,,,,United States of America
281,États-Unis,  Paul John Knowles  (1946-1974) (de 18 à 35 victimes). Le « Casanova tueur »   [ 49 ]   . ,  Paul John Knowles  ,de 18 à 35 victimes,,,,,,,United States of America
282,États-Unis,"  Todd Kohlhepp  (1971-), 7 meurtres. ",  Todd Kohlhepp  ,,,,,,,,United States of America
283,États-Unis,  Randy Kraft  (1945-) (de 16 à 67 victimes). « Score-Card Killer » a tué des militaires auto-stoppeurs   [ 9 ]   . ,  Randy Kraft  ,de 16 à 67 victimes,,,,,,,United States of America
284,États-Unis,  Leonard Lake  (1945-1985) et  Charles Ng  (1960-) (11 à 25 victimes). ,  Leonard Lake  ,11 à 25 victimes,,,,,,,United States of America
285,États-Unis,  Delphine Lalaurie  (1780-1842) près d'une centaine de victimes (des esclaves noirs). ,  Delphine Lalaurie  ,1780-1842,,,,,,,United States of America
286,États-Unis,"  Henry Lee Lucas  (1936-2001) et  Ottis Toole  (1947-1996), (de 11 à 600 victimes). ",  Henry Lee Lucas  ,de 11 à 600 victimes,,,,,,,United States of America
287,États-Unis,"  Samuel Little  (1940 - 2020) (condamné pour 3 meurtres, il avoue plus de 90 victimes)   [ 50 ]   . ",  Samuel Little  ,"condamné pour 3 meurtres, il avoue plus de 90 victimes",,,,,,,United States of America
288,États-Unis,  Bobby Joe Long    (en)   (1953-2019) (au moins 10 victimes) de mars à  novembre 1984 . « Le tueur en série de  Tampa  ». ,  Bobby Joe Long    ,au moins 10 victimes,,,,,,,United States of America
289,États-Unis,  Michael Madison    (en)   (1977-) (au moins 3 victimes) Copycat d'Anthony Sowell (l'étrangleur de Cleveland). ,  Michael Madison    ,au moins 3 victimes,,,,,,,United States of America
290,États-Unis,  Orville Lynn Majors    (en)   (1961-2017) 6 victimes reconnues mais beaucoup plus soupçonnées. Infirmier tueur. ,  Orville Lynn Majors    ,1961-2017,,,,,,,United States of America
291,États-Unis,  Charles Manson  (1934-2017) (au moins 9 victimes). Gourou auteur et commanditaire. ,  Charles Manson  ,au moins 9 victimes,,,,,,,United States of America
292,États-Unis,  Philip Markoff    (en)   (1986-2010) (3 victimes). « The Craiglist's killer » se suicide dans sa cellule. ,  Philip Markoff    ,3 victimes,,,,,,,United States of America
293,États-Unis,  David Edward Maust    (en)   (1954-2006) (5 victimes) de 1974 à 2003. ,  David Edward Maust    ,5 victimes,,,,,,,United States of America
294,États-Unis,  Kenneth McDuff    (en)   (1946-1998) (14 victimes). ,  Kenneth McDuff    ,14 victimes,,,,,,,United States of America
295,États-Unis,  David Meirhofer  (1949-1974) (4 victimes). ,  David Meirhofer  ,4 victimes,,,,,,,United States of America
296,États-Unis,  Bruce Mendenhall    (en)   (au moins 4 victimes). ,  Bruce Mendenhall    ,au moins 4 victimes,,,,,,,United States of America
297,États-Unis,  Meurtres de West Mesa    (en)   (11 victimes) des prostituées de 15 à 35 ans de 2001 à 2005. Non identifié. ,  Meurtres de West Mesa    ,11 victimes,,,,,,,United States of America
298,États-Unis,  Joe Metheny    (en)   (1955-2017) ( 5 à 10 victimes) de 1976 à 1995. « Le Cannibal ». ,  Joe Metheny    , 5 à 10 victimes,,,,,,,United States of America
299,États-Unis,  John Allen Muhammad  (1960- 2009) et  Lee Boyd Malvo  (1985-) (16 victimes). « The Beltway sniper ». ,  John Allen Muhammad  ,16 victimes,,,,,,,United States of America
300,États-Unis,  Herbert Mullin  (1947-) (13 victimes)   [ 51 ]   . ,  Herbert Mullin  ,13 victimes,,,,,,,United States of America
301,États-Unis,  Earle Nelson  (1897-1928) (au moins 22 victimes). ,  Earle Nelson  ,au moins 22 victimes,,,,,,,United States of America
302,États-Unis,  Gordon Northcott  (1906-1930) entre 1926 et 1928. ,  Gordon Northcott  ,,,,,,,,United States of America
303,États-Unis,  Alfred Packer  (1842-1907) (5 victimes) cannibale. « Alferd ». ,  Alfred Packer  ,5 victimes,,,,,,,United States of America
304,États-Unis,  Carl Panzram  (1891-1930) (de 5 à 22 victimes). Pendu. ,  Carl Panzram  ,de 5 à 22 victimes,,,,,,,United States of America
305,États-Unis,"  Manuel Pardo junior    (en)   (1956-2012) (9 victimes) en 1986. « le Don Juan du couloir de la mort », « le tueur au polaroid », « le vrai Dexter ». Pardo était policier et a tué des dealers mais certaines de ses victimes n'avaient pas de lien avec la vente de drogue et avaient uniquement eu pour tort de contrarier Pardo. Il aurait inspiré le personnage de Dexter Morgan bien que les créateurs de la série s'en défendent. ",  Manuel Pardo junior    ,9 victimes,,,,,,,United States of America
306,États-Unis,"  Gerald Parker  (1955-) (5 victimes) « le bourreau des chambres » (Bedroom Basher). En Californie dans les années 1970. Violeur qui pénétrait dans les chambres de ses victimes. Condamné à mort, attend son exécution. ",  Gerald Parker  ,5 victimes,,,,,,,United States of America
307,États-Unis,  Steven Brian Pennell    (en)   (1957-1992) (5 victimes). Le « tueur de la route 40 ». ,  Steven Brian Pennell    ,5 victimes,,,,,,,United States of America
308,États-Unis,  William « Junior » Pierce    (en)   (1931-) (9 victimes) de 1970 à 1971. ,  William « Junior » Pierce    ,9 victimes,,,,,,,United States of America
309,États-Unis,"  Craig Price  (1974-) dit « Warwick Slasher », meurtrier à 15 ans (4 victimes). ",  Craig Price  ,4 victimes,,,,,,,United States of America
310,États-Unis,  Cleophus Prince junior    (en)   (1967-) (6 victimes) de janvier à  septembre 1990 . Le « tueur de Clairemont ». ,  Cleophus Prince junior    ,6 victimes,,,,,,,United States of America
311,États-Unis,  Dorothea Puente  (1929-2011) (9 victimes) de 1980 à 1988 à Sacramento. ,  Dorothea Puente  ,9 victimes,,,,,,,United States of America
